https://drumpatterns.onether.com/george-bragg-its-a-new-day/

Tempo: 96
Time: 4/4
Swing: 3

[1] George Bragg - It's A New Day
CH X-X-X-X-X-X-X-X-
OH ----------------
CY ----------------
CB ----------------
CP ----------------
RS ----------------
HT ----------------
MT ----------------
LT ----------------
SD ----X-------X---
BD X-X-------XX---X
AC X-X-X-X-X-X-X-X-
GH ----------------

[2] George Bragg - It's A New Day
CH X-X-X-X-X-X-X-X-
OH ----------------
CY ----------------
CB ----------------
CP ----------------
RS ----------------
HT ----------------
MT ----------------
LT ----------------
SD ----X-------X---
BD X-X-------XX---X
AC X-X-X-X-X--XX-XX
GH ---------------X
