https://drumpatterns.onether.com/roger-hawkins-respect-yourself/

Tempo: 111
Time: 4/4
Swing: 0

[1] Roger Hawkins - Respect Yourself
CH X-X-X-X-X-X-X-X-
OH ----------------
CY ----------------
CB ----------------
CP ----------------
RS ----------------
HT ----------------
MT ----------------
LT ----------------
SD ----X-----X-X---
BD X---X---X---X---
AC X-X-X-X-X-X-X-X-
GH X-X---X-X-----X-

[2] Roger Hawkins - Respect Yourself
CH X-X-X-X-X-X-X-X-
OH ----------------
CY ----------------
CB ----------------
CP ----------------
RS ----------------
HT ----------------
MT ----------------
LT ----------------
SD ----X---X-X-X---
BD X---X---X---X---
AC X-X-X-X-X-X-X-X-
GH X-X---X-------X-
